Number,Year,Entry,Journal,Volume/Issue,Pages,Extracted_Journal,Extracted_Volume,Extracted_Issue,Extracted_PageStart,Extracted_PageEnd
376,1978,"Insects associated with flowering hawkweed (Hiezaceum prat  and cinquefoil (Potentilla recta L.) at Dunnville, Haldiman  Ontario, Ontario Field Biologist, 32 (2) : 24 - 29.’ Tausch)  unty.",,,,,,,,
377,1978,"A long-eared owl (Asio otus) and its food at Carr’s Bridge  Reservoir, Elgin County, Ontario, Ontario Field Biologist  34 - 36. .Thomas  (2) :",,,,,,,,
378,1979,"Arthropods associated with helleborine orchid, Epipactis h  (L.) Crantz, at Dunnville, Ontario. Entomological News,90 borine : 41 044.",,,,,,,,
379,1979,"Early Naturalists and Natural History Societies of London,  Pgelps Publishing Co., 37 Bruce St., London, Ontario. 216 ario.  es",,,,,,,,
380,1978,"Harvestmen (Phalangida) of Dunn Township, Haldimand County,  Canada. Proceedings, Entomological Society of Ontari© (197  139 - 143. ario,  108 :",,,,,,,,
381,1979,"Birds seen in the Hawaiian Islands in January and February,  The Cardinal, 95 : 22 - 26. *","Birds seen in the Hawaiian Islands in January and February,  The Cardinal",95,22,,,,,
382,1979,"Death of a blue jay after twenty-two years in captivity.  Bird-Banding, 50 (1) ; 69.",,,,,,,,
383,1979,"Insects reared from galls on white oak caused by Callirhyti  (O.S.) and on bur oak caused by Disholcaspis mamma (Cresson avula  London, Ontario. Ontario Field Biologist, 33 (1) : 19 - 23.",,,,Ontario Field Biologist,33,1,19,23
384,1979,"A Catalogue and Index of the "" Spring Bird Notes "" prepared  McIlwraith Ornithological Club for London's Newspapers, 192  Phelps Publishing Co., London, Ontario. 37 pages. the  1923.",,,,,,,,
385,1979,"Trips by William Edwin Saunders (1861-1943) to Florida in 1  and 1913. The Cardinal, 97 : 8 - 14. 1908",Trips by William Edwin Saunders (1861-1943) to Florida in 1  and 1913. The Cardinal,97,8,The Cardinal,97,,8,14
386,1980,"Report No. 8 of the archivist of the McIlwraith Field Natur:  The Cardinal, 98 : 22 - 24.  . S. 23",Report No. 8 of the archivist of the McIlwraith Field Natur:  The Cardinal,98,22,8 of the archivist of the McIlwraith Field Natur:  The Cardinal,98,,22,24
387,1980,"An annotated catalogue of the collection of birds’ eggs ma  Gray Jones (1891-1956), London, Ontario. Phelps Publishin,  London, Ontario. 52 pages y Norval  •",,,,,,,,
388,1980,"Insects associated with flowering basswood, Tilia american  Dunnville, Haldimand County, Ontario. Ontario Field Biolo,  34 (1) : 33 - 39. , at",,,,Ontario Field Biolo,34,1,33,39
389,1980,"An account of the collection of microscope slides of John :  (1852-1854). Phelps Publishing Co., London, Ontario. 16 j ness",,,,,,,,
390,1980,"Eating wild food, in southern Ontario. Cardinal, 100 : 20 - •","Eating wild food, in southern Ontario. Cardinal",100,20,Cardinal,100,,20,
391,1980,"Diary of William W. Judd while employed with the Northern 1  at Goose Bay, Labrador, June, 1948, edited and with append  Phelps Publishing Co., 87 Bruce St., London, Ontario. 38 I it Survey •",,,,,,,,
392,1981,"Establishing the Hawaii - Ontario connection in the Judd L Families (Ontario Genealogical Society), 20 (3) : 155 - 158 7.",,,,,,,,
393,1981,"A bibliography of the natural history of Middlesex County,  the year 1980 with an historical introduction. Phelps Pub  London, Ont., 157 pages urio to ing Co.,",,,,,,,,
394,1981,"Birds seen in the Hawaiian Islands in May, 1980. Cardinal, 104 (Supplement) : 3 - 6.",,,,Cardinal,104,Supplement,3,6
395,1981,"396. 1981 Diary of William W. Judd while employed with the Northern j  in the Yukon Territory, June and July,1949, edited and with  Phelps Publishing Co., London, Ontario. 64 pages Ambush bug (Phymata wolfii Stal.) on wild carrot (Daucus ca  at Dunnville, Ontario. Ontario Field Biologist, 35(2) : 81 t Survey  endices. L.)","396. 1981 Diary of William W. Judd while employed with the Northern j  in the Yukon Territory, June and July,1949, edited and with  Phelps Publishing Co., London, Ontario. 64 pages Ambush bug (Phymata wolfii Stal.) on wild carrot (Daucus ca  at Dunnville, Ontario. Ontario Field Biologist",35(2),81,Ontario Field Biologist,35,2,81,
397,1981,"398. 1982 Insects associated with flowering bindweed (Convolvulus sep  Dunnville, Ontario. Ontario Field Biologist, 35 (2) : 88 -  A visit to London in May, 1866 by Louis-Ovide Brunet and th  plants he recorded. Cardinal, 107 : 10 - 15. LJ at  st of","398. 1982 Insects associated with flowering bindweed (Convolvulus sep  Dunnville, Ontario. Ontario Field Biologist, 35 (2) : 88 -  A visit to London in May, 1866 by Louis-Ovide Brunet and th  plants he recorded. Cardinal",107,10,Ontario Field Biologist,35,2,88,
399,1982,"Birds seen in the Hawaiian Islands in February, 1982. Cardi  5 - 8. 108 : 400.","Birds seen in the Hawaiian Islands in February, 1982. Cardi  5 - 8",108,400,,,,,
401,1982,"1982 A female opossum with young from Dunnville, Ontario. Ontario Field Piologist, 36(1) : 82. archivist of the Report No. 9 of the McIlwraith Field Naturalists. Cardinal  1-4.  / 3 (Supplemen","1982 A female opossum with young from Dunnville, Ontario. Ontario Field Piologist",36(1),82,Ontario Field Piologist,36,1,82,
402,1982,"A diary of observations by W.W.Judd on the Byron Bog (Sifto  at London, Ontario, 1961 - 1966, Phelps Publishing Co., Lond  48 pages Sanical Bog)  it.,",,,,,,,,
403,1983,"Herbert Milnes (1905-1980) : naturalist of Woodstock, Ontario  Cardinal,!!! (Supplement) : 11 - 12.",,,,,,,,
404,1983,"Some birds seen in the islands of the South Pacific, February  Wood Duck (Hamilton Naturalists' Club),36 (9) : 156-158,160 3.",,,,,,,,
405,1983,"' and index - Catalogue of the collection of documents,genealogies and ph  pertaining to the life,relatives and acquaintances of Wills  Wallace Judd (1883-1981) and his wife,Ruth Ferrier (Alley)  (1887-1951) deposited in the Regional History library, Unive  of Western Ontario, London, Ontario, Canada. Phelps Publishing  Ontario. 94 pages -"" raphs. y - ,London, 24",,,,,,,,
406,1984,"A resume of references to herpetology of Middlesex County,  Bulletin, Canadian Amphibian and Reptile Conservation Soci  21 (4) : 2,3. rio.",,,,,,,,
407,1984,"A diary of observations by W.W.Judd on the Byron Bog (Sift  Botanical Bog) at London, Ontario, 1967- 1980. Phelps Put  Co., London, Ont., 60 pages ing",,,,,,,,
408,1984,"Birds and butterflies seen in the Hawaiian Islands,March 19  Cardinal,116 (Supplement) : 5,6.",,,,,,,,
409,1984,"Annotated catalogue of the herbarium of William W. Judd dor  1984 to the University of Western Ontario, London, Ontario, C.  Phelps Publishing Co., London, Ont., 66 pages 1 in 1.",,,,,,,,
410,1984,"Six seasons of Audubon Wildlife films (.No.32,1977-1978 to  1982-1983) presented at Fanshawe College, London,Ontario.  Cardinal, 117 : 11 - 12. 37,","Six seasons of Audubon Wildlife films (.No.32,1977-1978 to  1982-1983) presented at Fanshawe College, London,Ontario.  Cardinal",117,11,Cardinal,117,,11,12
411,1984,"Insects associated with flowering teasel, Dipsacus sylvest Dunnville, Ontario. Proceedings, Entomological Society of 1  114 (1983) : 95 - 98.  ' at  rio, 4120 1985 The taxidermic kit of William Edwin Saunders (1861 - 1943)  in the London, Ontario historical museum. Cardinal,119 (Suj  13 - 15. jsited  ent) :",,,,' at  rio,4120,,1985,
413,1985,"Report No. 16 of the archivist of the McIlwraith Field Nati  Cardinal, 119 (Supplement) : 16,17. .sts.",,,,16 of the archivist of the McIlwraith Field Nati  Cardinal,119,Supplement,16,
414,1985,"Historical account of the Byron Bog (Sifton Botanical Bog)  Ontario with a record of property transfers to the year 198  Half, Lot 25, Concession I, London Township which includes  Phelps Publishing Co., London, Ont., 61 pages",,,,,,,,
415,1985,"he inornate ringlet, Coenonympha tullia inornata edwards,  to the butterfly fauna of Dunnville, Ontario. Wood Duck, 39 ondon,  t North  bog. ddition  : 22.",,,,,,,,
416,1986,"Some birds seen in Australia in 1985. wood Duck, 39 (5): 6.",,,,wood Duck,39,5,6,
417,1986,"Some birds seen in New Zealand in 1985. Wood Duck, 39 (9) 5 - 146.",,,,Wood Duck,39,9,5,146
418,1986,"The broad-winged skipper, Poanes viator (Edwards), an addit.  butterfly fauna of Dunnville, Ontario with further comments  inornate ringlet. Wood Duck, 40 (1) : 6 - 7. -0 the  the",,,,Wood Duck,40,1,6,7
419,1986,"Some birds seen in Kapiolani Park,Honolulu, Hawaii,April 198  Cardinal, 124 - 11 - 12.",,,,,,,,
420,1986,"Some birds seen in Jamaica and St. Lucia in 19860  Wood Duck, 40 (3) : 38 - 39.",,,,Lucia in 19860  Wood Duck,40,3,38,39
421,1986,"Catalogue of columns on natural history, "" Nature’s Diary "",  Brooker Klugh (1882 - 1932) published in the Farmer’s Advoca  1925, at London, Ontario, Canada. Phelps Publishing Co., Lo:  Ont., 42 pages Alfred 912 to",,,,,,,,
422,1986,"Insects associates with flowering spicebush, Lindera Benzoil,  in Ekfrid Township, Middlesex County, Ontario. Cardinal, 12! ) Blume,  7 - 20.",,,,,,,,
423,1987,"Another opossum found at Dunnville,Ontario 1985. Wood Duck,40 (7) : 109.",,,,Wood Duck,40,7,109,
424,1987,"References to herpetology in nature columns by A.B.Klugh in  Advocate, Bulletin, Canadian Amphibian and Reptile Conserva  Society, 24 (2) : 2. Farmer *s",,,,,,,,
425,1987,"Insects associated with flowering red-osier dogwood,Cornus s tiferà Michx., at Dunnville, Ontario. Wood Duck,41(2) : 20 ,27.","Insects associated with flowering red-osier dogwood,Cornus s tiferà Michx., at Dunnville, Ontario. Wood Duck",41(2),20,Wood Duck,41,2,20,
426,1987,", .  25 tat  e  , Annotated diaries of Helena Freelove Wallacw (1884-1982) in Ontario,1899 and of William Wallace Judd (1883-1981) on a t  Europe,1911. Phelps Publishing Co., London, Ontario, 39 pages onto,  of",,,,,,,,
427,1987,"Report No. 11 of the archivist of the McIlwraith Field Naturi Cardinal,129 : 20 - 21 sts.",Report No. 11 of the archivist of the McIlwraith Field Naturi Cardinal,129,20,11 of the archivist of the McIlwraith Field Naturi Cardinal,129,,20,21
428,1987,"One season (No. 38) of Outdoor Film Adventures presented at  Gospel Temple, London, Ontario, 1983 - 1984. Cardinal,129 : 2; London","One season (No. 38) of Outdoor Film Adventures presented at  Gospel Temple, London, Ontario, 1983 - 1984. Cardinal",129,2,Cardinal,129,,2,
429,1988,"Some birds seen in islands of the South Pacific and Hawaii i  Wood Duck (Hamilton Naturalists' Club), 41 (5) : 76,77 87.",,,,,,,,
430,1988,"More recipes for wild food in southern Ontario. Cardinal,1 22,23",,,,Cardinal,1,,22,
431,1988,"Prairie buttercups once grew in St.Paul’s Old Cemetery,  Cardinal (Supplement),13lb : 2,3",,,,,,,,
432,1988,"Insects associated with flowering staghorn sumac, Rhus typhin , at Dunnville,Ontario. Wood Duck (Hamilton Naturalists' Clul  41 (9) : 130 - 131",,,,,,,,
433,1988,"Your Scoops - Bora Bora. Travel Scoop, The Consumer Newslat Canadian Travellers,6(5) : 3 or","Your Scoops - Bora Bora. Travel Scoop, The Consumer Newslat Canadian Travellers",6(5),3,,,,,
434,1988,"Insects trapped by flowers of milkweed (Asclepias syriaca L. Dunnville, Ontario. Wood Duck(Hamilton Naturalists' Club),42 :26,27","Insects trapped by flowers of milkweed (Asclepias syriaca L. Dunnville, Ontario. Wood Duck(Hamilton Naturalists' Club)",42,26,Wood Duck(Hamilton Naturalists' Club),42,,26,
435,1988,"Annotated catalogue of the meetings,1890 to 1987, of the Mcl  Field Naturalists of London, Ontario. Phelps Publishing Co.,  Ontario,87 pages ith  on.",,,,,,,,
436,1989,"Insects reared from globular galls on Rosà blanda caused by  wasps (Hymenoptera : Cynipidae). Transactions,American Micro  Society, 108 (1) : 101 - 104 ical",,,,,,,,
437,1989,"Backyard composting. Cardinal, 135 : 10",Backyard composting. Cardinal,135,10,Cardinal,135,,10,
438,1989,"Three pastors of Dundas Center Methodist Church active as sc  Cardinal,135b (Supplement) : 6,7 ists.",,,,,,,,
439,1989,"Catalogue of documents pertaining to the life and activities  Wallace Judd,Professor Emeritus (Zoology),University of Weste  deposited in the Regional History Library, University of West  London, Ontario, Canada. Phelps Publishing CO., London, Ontario, illiam  Ontario,  ntario,  ges",,,,,,,,
440,1989,"Insects associated with flowering purple-flowerung raspberry  odoratus L.) at Dunnville,Ont. Wood Duck (Hamilton Naturalise  43 (1) : 7. us  Club),",,,,,,,,
441,1989,"Peters ' Swamp : The first recorded field trip of the McIlwrai  Peters * Swamp, January 10, 1891. Cardinal,137 : 11,12 lub.","Peters ' Swamp : The first recorded field trip of the McIlwrai  Peters * Swamp, January 10, 1891. Cardinal",137,11,Cardinal,137,,11,
442,1990,"An opossum, Didelphis vir iniana, captured at London, September,  Cardinal,138 : 24,25","An opossum, Didelphis vir iniana, captured at London, September,  Cardinal",138,24,,,,,
443,1990,"Insects associated with flowering chicory,Cichorium intybus L.  Dunnville, Ont. Wood Duck (Hamilton Naturalists* Club),43(8)|",,,,,,,,
444,1990,"Report No. 12 of the archivist of the McIlwraith Field Natura Cardinal,139 : 25 - 27 •",Report No. 12 of the archivist of the McIlwraith Field Natura Cardinal,139,25,12 of the archivist of the McIlwraith Field Natura Cardinal,139,,25,27
445,1990,"Sifton Botanical Bog. Cardinal, 139(b)(Supplement) : 8 26",,,,,,,,
4416,1990,"Te cabin of W.Z.Sainders at Westminster Ponds. Cardinal,1 21,22",,,,Cardinal,1,,21,
448,1990,"The founding meeting of the MFN. Cardinal, 141 : 14-15",The founding meeting of the MFN. Cardinal,141,14-15,Cardinal,141,,14,15
449,1991,"A slender blind shake, Leptotyphlops dulcis, imported into  nursery stock. Bulletin,Canadian Amphibian and Reptile Con  Society, 26(6) : 1 ario in  ation","A slender blind shake, Leptotyphlops dulcis, imported into  nursery stock. Bulletin,Canadian Amphibian and Reptile Con  Society",26(6),1,,,,,
450,1991,"The old channel of the Thames River : a locale for nesting:  Cardinal, 142 : 23 - 21, is.",The old channel of the Thames River : a locale for nesting:  Cardinal,142,23,,,,,
451,1991,"Henry’s marsh moth and its parasites reared from cat-tail,  at London, Ontario o Cardinal, 143 : 12,13 a latifolia","Henry’s marsh moth and its parasites reared from cat-tail,  at London, Ontario o Cardinal",143,12,,,,,
452,1991,"Nesting of the prairie horned lark at London, Ontario,1958-1 Cardinal, 144 : 15,16 •","Nesting of the prairie horned lark at London, Ontario,1958-1 Cardinal",144,15,,,,,
453,1991,"Reverend William Proudfoot (1788-1851) and his observations  in London Township, 1833-1834. Cardinal, 1,5 : 22 - 24 nature","Reverend William Proudfoot (1788-1851) and his observations  in London Township, 1833-1834. Cardinal, 1",5,22,,,,,
454,1991,"Annotated correspondence, 1901 - 1928, of Sarah Agnes Saun  (1836-1915) ""illiam Edwin Saunders (1861 - 1943; and Edgar Serle Dale (1883-1948) with Lewis McIver Terrill4l878-1968,  Phepls Publishing Co., London, Ont. 104 pages rille",,,,,,,,
455,1991,"Annotated catalogue and index of columns on nature written  W. Agnos (1927-1991), for London Free Press, 1989 - 1991. Phelps Publishing Co., London, Ont., 20 pages lohn",,,,,,,,
456,1992,"Annotated minutes of the meetings, 1920 to 1923, of the MeJ  Ornithological Club,London,Ontario,Canada. Phelps Publishir  London, Ont. 81 pages ith",,,,,,,,
457,1992,"Insects associated with flowering sow-thistle, Sonchus arver.  at Dunnville, Ontario. Cardinal, 146 : 22 L.,","Insects associated with flowering sow-thistle, Sonchus arver.  at Dunnville, Ontario. Cardinal",146,22,Cardinal,146,,22,
458,1992,"Report No. 13 of the archivist of the McIlwraith Field Natu  Cardinal, 146 : 27 - 29 sts.",Report No. 13 of the archivist of the McIlwraith Field Natu  Cardinal,146,27,13 of the archivist of the McIlwraith Field Natu  Cardinal,146,,27,29
459,1992,"Catalogue of items added from 1974 to 1992 to the archives Cronyn Memorial Anglican Church, London, Ontario, Canada. Phelps Publishing Co.,london,Ont.,44 pages ishop",,,,,,,,
460,1992,".insects associated with flowering multiflora rose,Rosa mult? Thumb., at Dunnville, Ontario. Cardinal,1,7 : ;6,17 a",,,,,,,,
461,1992,"Birds/of/Knt Some birds seen in Antigua,March,1992. (3-page script)",,,,,,,,
462,1992,"Insects associated with flowering spearmint,Mentha spicata) Dunnville, Ontario. Cardinal,148 : 22,23 t","Insects associated with flowering spearmint,Mentha spicata) Dunnville, Ontario. Cardinal",148,22,Cardinal,148,,22,
463,1992,"More naturalists and their work in southern Ontario. printed by Hearn/Kelly Printong Co.,London,Ont.,60 pages",,,,,,,,
464,1992,"Insects associated with flowering purple loosestrife (Lythru  at Dunnville, Ontario. Cardinal,149 : 12,13. Licaria L.)","Insects associated with flowering purple loosestrife (Lythru  at Dunnville, Ontario. Cardinal",149,12,Cardinal,149,,12,
465,1993,"Annotated memoirs of Albert H. Dobson (1888-1969) concerning  from 1888 to 1923 in London Township and Petersville,Middles Ontario,Canada. Phelps Publishing Co., London,Ont., 50 pages life  ounty.",,,,,,,,
466,1993,"Reminiscences in 1923 by members of the McIlwraith Omit)  Club about the passenger pigeon in the vicinity of London  Cardinal,150 : 21 ' ical",Reminiscences in 1923 by members of the McIlwraith Omit)  Club about the passenger pigeon in the vicinity of London  Cardinal,150,21,,,,,
467,1993,"Annotated correspondence,1878, of Emma (Hearle) Bate (181  Dunn Township,Haldimand County, Ontario. Phelps Publishing  London,Ont., 50 pages 95),  »",,,,,,,,
468,1993,"Insects associated with flowering mossy stonecrop,Sedum a  at London, Ontario. Cardinal,151 : 21. L.,","Insects associated with flowering mossy stonecrop,Sedum a  at London, Ontario. Cardinal",151,21,Cardinal,151,,21,
469,1993,"Resume of catalogues of columns on nature and conservatio  of London, Ontario, 1912-1992 with a catalogue of columns o  Thomas N. Hayman in London Free Press, 1963 - 1992. Phelp  Co.,London,Ont.,63 pages newspapers  ture by  blishing",,,,,,,,
470,1993,"Report No. 14 of the archivist of the Cilwrait  Naturalists. Cardinal,152 : 17,18  "" ield",Report No. 14 of the archivist of the Cilwrait  Naturalists. Cardinal,152,17,Cardinal,152,,17,
471,1993,"The first Christmas censuses of birds. Cardinal,153 : 13",The first Christmas censuses of birds. Cardinal,153,13,Cardinal,153,,13,
472,1994,"Annotated minutes of the meetings,1924-1927, of the Meli Ornithological Club, London, Ontario, Canada. Phelps Publis Co., London,Ont, 95 pages th",,,,,,,,
473,1994,"Annotated diary written in 1870 by Elizabeth (Wallace) J  (1846-1915) while living in Millbrook and Lindsay,Ontari'  Phelps Publishing Co., London, Ont., 83 pages nada.",,,,,,,,
474,1994,"Oakland cemetery as a haunt for bird-watchers and plant­ Cardinal, 154 : 20,21 ers.",Oakland cemetery as a haunt for bird-watchers and plant­ Cardinal,154,20,,,,,
475,1994,"Noted historian enjoyed bird-watching. Western News,30(1 4,March 24",,,,,,,,
476,1994,"The home of W.E.Saunders at 24,0 Central Avenue, London. Cardinal,155 : 24,25","The home of W.E.Saunders at 24,0 Central Avenue, London. Cardinal",155,24,Cardinal,155,,24,
477,1994,"The great pilgrimage by the McIlwraith CRub to Kingsville  1934. Cardinal,156 : 20 March,",The great pilgrimage by the McIlwraith CRub to Kingsville  1934. Cardinal,156,20,Cardinal,156,,20,
478,1994,"Memorabilia of Helen Irene Battle (1903-1994), University Western Ontario, London, Ontario. Phelps Publishing Co., Loin Ont.,68 pages",,,,,,,,
479,1994,"Dr.Helen I. Battle (1903-1994) and her talks to the Mell Cardinal, 157 : 21 ,h Club.",Dr.Helen I. Battle (1903-1994) and her talks to the Mell Cardinal,157,21,Battle (1903-1994) and her talks to the Mell Cardinal,157,,21,
480,1995,"Annotated minutes of the meetings,1928 to 1931,0f the Mc.  Ornithological Club,Tandon,Ontario,Canada. Phelps Publish  London,Ont., 104 p. ith  Co.,",,,,,,,,
481,1995,"A diary of observations by W.W.Judd on the Sifton Botanic  (Hyron Bog) at London,Ontario, 1981 - 1993. Phelps Publish  London,Ont.,25 pages log  Co.,",,,,,,,,
482,1995,"Maple Grove Farm,the property of William Saunders (1836-19  London Township,1868-1882, Cardinal,158 : 20,21 in","Maple Grove Farm,the property of William Saunders (1836-19  London Township,1868-1882, Cardinal",158,20,,,,,
483,1995,"William Saunders (1836-1914) and his porperty at Mount Ple  Cemetery, London, Ontario, 1877-1888, Cardinal,159 : 22,23 ■t","William Saunders (1836-1914) and his porperty at Mount Ple  Cemetery, London, Ontario, 1877-1888, Cardinal",159,22,,,,,
484,1995,"Annotated diaries of Helena F. Judd (1848-1884) while liv  Shortsville,New York,U.S.A 0,1866,1868 and of Helena F. Wal  (1884-1982) while teaching school at Fairbairn,Victoria Co  Ontario, Canada, 1903. Phelps Publishing Co.,London, Ont.,78 n »  •s 28 28",,,,,,,,
485,1995,"Memorabilia of research on the Dundas Marsh, Hamilton, Ontarii  nada, 1946 to 1948. Phelps Publishing Co., London, Cnt.,81 pages 486.. 1995 Observations on the heronry in Lot 24, Concession VII,London Township. Cardinal,160 : 24. 487.. 1995 Th« W.E,Saunders, bird sanctuary established at Arva, Ontario  1936. Cardinal, ibi - 18,19","Memorabilia of research on the Dundas Marsh, Hamilton, Ontarii  nada, 1946 to 1948. Phelps Publishing Co., London, Cnt.,81 pages 486.. 1995 Observations on the heronry in Lot 24, Concession VII,London Township. Cardinal",160,24,Cardinal,160,,24,
488,1995,"My bird list of 1931-1932 at Hamilton. Wood Duck,48(8):98,99",My bird list of 1931-1932 at Hamilton. Wood Duck,48(8),98,Wood Duck,48,8,98,
489,1996,"Annotated minutes of the meetings,1932 to 1935,of the McIlwi  Ornithological Club, London, Ontario, Canada. Phelps Publishin  ., London, Ont., 106 pages",,,,,,,,
490,1996,""" Buster "", the mourning dove who belonged to the Mcllwraith  Ornithological Club. Cardinal,162 : 24",""" Buster "", the mourning dove who belonged to the Mcllwraith  Ornithological Club. Cardinal",162,24,Cardinal,162,,24,
491,1996,"Historical account of the Windy Bluff Camp of the Judd famij is  adjacent properties on Lot 1,Concession IV south of the Dove  ad, Dunn Township,Haldimand County, Ontario Phelps Publishing Co  London, Ont., 82 pages  /834-1995",,,,,,,,
492,1996,"Roger Thomas Hedley (1879-1947), farmer and naturalist of Lob wnship  Cardinal,163 : 20,21 493 o 1996 Annotated diaries, including observations on birds, written by  mas N.Hayman in 1938 and 194,0 at London and St.Catharines, Ontari nada.  Phelps Publishing Co.,London,Ont.,79 pages","Roger Thomas Hedley (1879-1947), farmer and naturalist of Lob wnship  Cardinal",163,20,,,,,
494,1996,"Annotated catalogue of titles of articles by W.W.Judd on the  trail history of Dunn Township,Haldimand County,Ontario,1950 to 199  Phelps Publishing Co., London, Ont.,12 pages",,,,,,,,
495,1996,"Insects associated with flowering Canada anemone, Anemone cana  is L., at Dunnville, Ontario. Cardinal, 164, : 24,25",,,,,,,,
496,1997,"Annotated minutes of the meetings,1936 to 1939, of the Mcllwr Ornithological Club, Londen,Ontario, Canada. Phelps Publ. Co.,1  1, Ont.,108 pages",,,,,,,,
497,1997,"A nest of an organ-pipe mud dauber. Cardinal,166 : 20",A nest of an organ-pipe mud dauber. Cardinal,166,20,Cardinal,166,,20,
498,1997,"James Edward Keays (1867-1954),second president of the Mcllwr;  Club, and his relatives who were active in the club. Cardinal,  166 : 26 - 29","James Edward Keays (1867-1954),second president of the Mcllwr;  Club, and his relatives who were active in the club. Cardinal",166,26,Cardinal,166,,26,29
499,1997,"Memorabilia of the Judd family at King’s College School at Win,  Nova Scotia,1914 to 1927. Phelps Publishing Co., London, Ont.,95  es",,,,,,,,
500,1997,"Insects associated with flowering blue vetch,Vicia cracea L.,a  Dunnville, Ontario. Cardinal, 167 : 25","Insects associated with flowering blue vetch,Vicia cracea L.,a  Dunnville, Ontario. Cardinal",167,25,Cardinal,167,,25,
501,1997,"Annotated observations on birds by Norman Chesterfield (1913-1  of Wheatley, Ontario included in nature columns writ en by Thomas !  yman in London Free Press. Phelps Publishing Co.,17 pages",,,,,,,,
502,1997,"Foreword (2 pages) in Wake,Winifred (editor) 1997 A Nature Guic■  Ont rio. Unjmersity of Toronto Press, Toronto,469 pages",,,,,,,,
503,1997,"Report No. 15 of the archivist of the, Mcllwraith Field Naturali  Cardinal,168 : 26,27","Report No. 15 of the archivist of the, Mcllwraith Field Naturali  Cardinal",168,26,,,,,
504,1997,"A record of observations on birds made by Dougaid Murray of Ek :  Township and reported in the London Free Press, 1954-1991. Cardinal ;169 : 20,21 29 505. Annotated minutes of the meetings,1940 to 1942,of the McIlwraith 1990 Ornithological Club, London, Ontario, Canada. Phelps Publishing Co London, Ont .,78 pages 506. Annotated diary written in 1943 by John Patrick Judd_(1918-1962) Le  /9qg with the Royal Canadian Air Force during World War II. Phelps Publushing Co.,London,Ont.,154 pages 507. A trip down the Thames River from London to Lake St.Clair made i  4g by W.E.Sau nders. Cardinal,171 * 26,27 81 508. Seventy-five years of documents (1923-1998) pertaining to the p rvation  945 of the Westminster Ponds and Pind Mills at London, Ontario, Cana Phelps Publishing Co., London, Ont., 85 pages 509. Catalogue and index of columns on nature written,1992-1998, by  /^ Cook and Winifred Wake for London Free Press, Phelps Publishing, 7.0 | London, Ont., 24 pages' 510. Insects associated with flowering white sweet-clover,Melilotus :  Desv., 199, at Dunnville,Ontario. Cardinal,172 : 31 511. My accuaintance with the Burgess Nature Books. Wood Duck (Hamilt  7A( Naturalists Club), 52 (1) : 23,24 512 . Records of diatoms reported at London, Ontario in 1870 by Willia ter  VAIE (1849-1919). Cardinal,173 : 35 513. Annotated minutes of the meetings,1943 to 1949, of the Meliwrai  fqiq Ornithological Club,London, Ontario, Canada. Phelps Publishing Co * London,Ont. 117 pages 514. Annotated diary written in 1944 by John Patrick Judd (1919-1962  |0q, while with the Royal Canadian Air Force during World War II. 2 Phelps Publishing Co .London, Ont. ,74 pages 515. A drink produced from the fruit of downy arrow-wood, Viburnum r esquianum.  159? Cardinal, 174 : 29","A record of observations on birds made by Dougaid Murray of Ek :  Township and reported in the London Free Press, 1954-1991. Cardinal ;169 : 20,21 29 505. Annotated minutes of the meetings,1940 to 1942,of the McIlwraith 1990 Ornithological Club, London, Ontario, Canada. Phelps Publishing Co London, Ont .,78 pages 506. Annotated diary written in 1943 by John Patrick Judd_(1918-1962) Le  /9qg with the Royal Canadian Air Force during World War II. Phelps Publushing Co.,London,Ont.,154 pages 507. A trip down the Thames River from London to Lake St.Clair made i  4g by W.E.Sau nders. Cardinal,171 * 26,27 81 508. Seventy-five years of documents (1923-1998) pertaining to the p rvation  945 of the Westminster Ponds and Pind Mills at London, Ontario, Cana Phelps Publishing Co., London, Ont., 85 pages 509. Catalogue and index of columns on nature written,1992-1998, by  /^ Cook and Winifred Wake for London Free Press, Phelps Publishing, 7.0 | London, Ont., 24 pages' 510. Insects associated with flowering white sweet-clover,Melilotus :  Desv., 199, at Dunnville,Ontario. Cardinal",172,31,Cardinal ;169 : 20,21,,29,
516,1999,"Memorabilia of theEstomologieal Seciety of Ontario and its ton Branch  (1864-1881) while headquartered in London, Ontario from 1872 to . Phelps Publishing Ce.,London,Ont., 74 sages",,,,,,,,
517,1999,"A beetle living in a gall produced by another insect on bui at  London. The Cardinal, 175 : 23",A beetle living in a gall produced by another insect on bui at  London. The Cardinal,175,23,The Cardinal,175,,23,
518,1999,"Catalogue and index of columns on nature written in 1998 b.  Winifred Wake for London Free Press. Phelps Publishing Co., Lond  ht.  11 pages",,,,,,,,
519,1999,"Records of ferns and their allies reported at London, Cañad:  it,  in 1864 by George Lawson (1827-1895). The Cardinal, 176 : 38,39 520  1000 TA 2 __ 1  -1  .  .  -","Records of ferns and their allies reported at London, Cañad:  it,  in 1864 by George Lawson (1827-1895). The Cardinal",176,38,The Cardinal,176,,38,
